Nom;Pré-Requis;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime
Paralyseur électrique;arme de mêlée courte avec pointe bleue;Un paralyseur électrique est une arme non létale anti-émeute qui délivre des chocs électriques incapacitants au contact, mais doit être chargée avec des batteries. Au contact, il inflige l'effet ''Électricité! Spasme pendant 5 secondes!'', forçant la cible à convulser pendant la durée. Une Batterie contient 3 charges et recharger une batterie dans un paralyseur électrique requiert 2 minutes hors combat. ;250;50;Yttrium (2) + Thermoplastique (2);15 minutes ou 1 Downtime;15;1;1
Bâton à impulsion;arme de mêlée moyenne avec pointe bleue;Un bâton à impulsion est une arme anti-émeute délivrant des charges électriques létales au contact. Un bâton inflige 1 dégât ''choc'' par seconde, mais sa batterie ne peut être utilisée que pendant 10 secondes avant d'être vidée. Recharger une Batterie dans un bâton à impulsion requiert 2 minutes hors combat. ;250;50;Yttrium (2) + Thermoplastique (2);15 minutes ou 1 Downtime;15;1;1
Aérosol chimique ;un vaporisateur d'eau;Ce vaporisateur antiémeute permet de projeter des substances chimiques à courte portée pour divers effets incapacitants. Chargé avec une dose d'Acide, l'aérosol inflige l'effet ''Toxine : Aveuglement 15 secondes''. Avec une Base, il inflige un effet ''Toxine : Souffrance 10 secondes''. Avec une dose de Psychotrope : ''Toxine : Désorientation 30 secondes''. La portée effective d'un aérosol chimique est de 3 mètres, et une recharge prend 2 minutes hors combat. Une fois chargé, l'aérosol est fonctionnel pour 3 utilisations. ;400;30;Thermoplastique (4) + Platine (4);15 minutes ou 1 Downtime;15;1;1
Plastron composite;une armure partielle;Un plastron composite est une armure de torse renforcée de multiples couches de nanomatériaux aux propriétés complémentaires. Sa composition exceptionnelle lui confère une meilleure résistance aux attaques de tous types, qui donne 1 PA supplémentaire à l'armure.;500;10;Superalliage + Nanotubes;15 minutes ou 1 Downtime;15;1;1
Générateur de bouclier civil;un objet au choix ou une plateforme d'androïde;Le plus simple et miniaturisable des générateurs de bouclier, il peut aisément être intégré à un accessoire porté en tenue civile, tel un brassard, un boitier à la ceinture ou tout autre réceptacle porté près du corps. Capacité maximale : 4 PBE // Recharge totale en 20 secondes. Maximum de 1 générateur actif. Activer un générateur prend 5 minutes de calibration hors combat.;500;100;Yttrium (4) + Prométhium (2) + Logiciel;15 minutes ou 1 Downtime;15;1;1
Générateur de bouclier rapide;une armure ou une plateforme d'androïde;Ce générateur de bouclier est optimisé pour sa vitesse de recharge, et doit être intégré à une coque solide pour être fonctionnel. Capacité maximale : 2 PBE // Recharge totale en 10 secondes. Maximum de 1 générateur actif. Activer un générateur prend 5 minutes de calibration hors-combat.;750;20;Yttrium (3) + Prométhium (6) + Rhodium (3) + Logiciel;15 minutes ou 1 Downtime;15;1;1
Générateur de bouclier lourd;une armure ou une plateforme d'androïde;Ce générateur de bouclier est conçu pour créer des champs de force particulièrement robustes, et sa taille nécessite une coque solide pour qu'il soit fonctionnel. Capacité maximale : 6 PBE // Recharge totale en 20 secondes. Maximum de 1 générateur actif.  Activer 1 générateur prend 5 minutes de calibration hors combat.;750;150;Yttrium (5) + Prométhium (3) + Uranium (3) + Logiciel;15 minutes ou 1 Downtime;15;1;1
Arme à calibre lourd;un fusil de catégorie 1;Une arme à calibre lourd est un fusil de Catégorie 1 dont les projectiles infligent +1 dégât.;1250;10;Superalliage (3) + Tungstène (9) + Plastoïde;30 minutes ou 1 Downtime;30;1;1
Armure composite;une armure complète;Une armure composite est construite à partir de multiples couches de nanomatériaux aux propriétés complémentaires. Sa composition exceptionnelle lui confère une meilleure résistance aux attaques de tous types, donnant à l’armure 2 PA supplémentaires. Une armure composite permet également à son porteur de résister à une condition ''Blessure'' 1 fois par activité. ;1500;100;Superalliage (2) + Nanotubes (2) + Nanocrystaux + Thermoplastique;30 minutes ou 1 Downtime;30;1;1
Arme à haute vélocité;un fusil de catégorie 2 ou 3;Une arme à haute vélocité est un fusil de Catégorie 2 ou 3 dont les projectiles infligent +1 dégât, mais dont le fonctionnement consomme des Batteries. Une batterie est capable d'alimenter 6 tirs, et l'arme peut être chargée avec jusqu'à 2 batteries s'il s'agit d'une arme de Catégorie 2, ou 3 s'il s'agit d'une arme de Catégorie 3. Une fois les batteries vidées, elles doivent être remplacées, un processus qui requiert 2 minutes hors combat. L'arme peut continuer de tirer une fois les batteries vidées, mais elle ne bénéficie plus du bonus de +1 dégât.;2500;180;Supraconducteur (3) + Superalliage (3) + Nanotubes (2) + Cryofluide (2) + Prométhium + Yttrium;45 minutes ou 1 Downtime;45;1;1
